Centroid_x,Centroid_y,COMID
-35.99116628,-8.640306886,307578700
-35.90350814,-8.666822318,307562200
-35.80768779,-8.65600939,307586600
-35.66515805,-8.647465107,307586800
-35.69980413,-8.662446581,307586700
-35.78735795,-8.720265152,307621000
-35.72601744,-8.732170543,307601400
-35.87014303,-8.751038557,307635600
-35.93267826,-8.808301747,307668800
-36.03932662,-8.761631122,307668700
-36.10547543,-8.813605769,307676500
