Name,Lat_deg,Long_deg
Station_1,-8.591627634,-36.07745814
Station_2,-8.571436465,-35.75181052
Station_3,-8.683,-35.9131
Station_4,-8.6743,-35.6536
Station_5,-8.7321,-35.7845
Station_6,-8.698419317,-35.50873507
Station_7,-8.7874,-36.08805
Station_8,-8.881785443,-35.85367032
