date_format,Flow
1/1/2001,3.119774103
2/1/2001,3.119774103
3/1/2001,2.651595116
4/1/2001,2.429426193
5/1/2001,2.881749153
6/1/2001,3.619015455
7/1/2001,3.119774103
8/1/2001,3.119774103
9/1/2001,2.651595116
10/1/2001,2.651595116
11/1/2001,2.651595116
12/1/2001,4.424422741
13/01/2001,5.912020206
14/01/2001,4.148533344
15/01/2001,3.880035639
16/01/2001,3.619015455
17/01/2001,3.365563154
18/01/2001,2.881749153
19/01/2001,2.651595116
20/01/2001,2.429426193
21/01/2001,2.651595116
22/01/2001,3.119774103
23/01/2001,2.215363264
24/01/2001,2.009536505
25/01/2001,1.812085748
26/01/2001,1.812085748
27/01/2001,2.009536505
28/01/2001,2.215363264
29/01/2001,2.215363264
30/01/2001,1.623161554
31/01/2001,1.623161554
1/2/2001,1.623161554
2/2/2001,2.009536505
3/2/2001,2.429426193
4/2/2001,2.429426193
5/2/2001,2.215363264
6/2/2001,1.271561623
7/2/2001,1.623161554
8/2/2001,1.442927361
9/2/2001,1.271561623
10/2/2001,1.442927361
11/2/2001,0.956237972
12/2/2001,1.109259725
13/02/2001,1.109259725
14/02/2001,1.442927361
15/02/2001,1.109259725
16/02/2001,1.623161554
17/02/2001,1.623161554
18/02/2001,1.812085748
19/02/2001,1.271561623
20/02/2001,1.109259725
21/02/2001,1.623161554
22/02/2001,1.442927361
23/02/2001,1.271561623
24/02/2001,1.812085748
25/02/2001,1.623161554
26/02/2001,1.442927361
27/02/2001,1.271561623
28/02/2001,1.442927361
1/3/2001,1.812085748
2/3/2001,1.442927361
3/3/2001,1.109259725
4/3/2001,1.623161554
5/3/2001,1.812085748
6/3/2001,1.623161554
7/3/2001,1.812085748
8/3/2001,1.812085748
9/3/2001,1.812085748
10/3/2001,2.215363264
11/3/2001,2.215363264
12/3/2001,5.6003232
13/03/2001,5.912020206
14/03/2001,6.230671406
15/03/2001,6.888586998
16/03/2001,6.556213379
17/03/2001,4.424422741
18/03/2001,4.707622528
19/03/2001,3.619015455
20/03/2001,2.881749153
21/03/2001,3.880035639
22/03/2001,3.619015455
23/03/2001,3.365563154
24/03/2001,2.881749153
25/03/2001,2.651595116
26/03/2001,2.215363264
27/03/2001,2.009536505
28/03/2001,2.009536505
29/03/2001,2.009536505
30/03/2001,6.888586998
31/03/2001,10.57622337
1/4/2001,9.023173332
2/4/2001,10.98031807
3/4/2001,7.573596954
4/4/2001,5.6003232
5/4/2001,4.148533344
6/4/2001,3.619015455
7/4/2001,3.619015455
8/4/2001,4.707622528
9/4/2001,4.998054981
10/4/2001,4.148533344
11/4/2001,3.619015455
12/4/2001,3.365563154
13/04/2001,3.119774103
14/04/2001,2.651595116
15/04/2001,3.119774103
16/04/2001,3.119774103
17/04/2001,3.365563154
18/04/2001,3.119774103
19/04/2001,3.365563154
20/04/2001,2.651595116
21/04/2001,2.429426193
22/04/2001,2.429426193
23/04/2001,3.119774103
24/04/2001,3.365563154
25/04/2001,3.365563154
26/04/2001,3.365563154
27/04/2001,4.998054981
28/04/2001,6.230671406
29/04/2001,9.78694725
30/04/2001,7.573596954
1/5/2001,6.230671406
2/5/2001,4.998054981
3/5/2001,4.148533344
4/5/2001,4.707622528
5/5/2001,4.424422741
6/5/2001,4.424422741
7/5/2001,3.619015455
8/5/2001,3.119774103
9/5/2001,2.881749153
10/5/2001,2.881749153
11/5/2001,2.429426193
12/5/2001,2.651595116
13/05/2001,2.429426193
14/05/2001,2.215363264
15/05/2001,2.651595116
16/05/2001,2.651595116
17/05/2001,2.215363264
18/05/2001,2.009536505
19/05/2001,1.812085748
20/05/2001,1.812085748
21/05/2001,1.623161554
22/05/2001,1.812085748
23/05/2001,2.009536505
24/05/2001,1.812085748
25/05/2001,1.812085748
26/05/2001,1.812085748
27/05/2001,1.623161554
28/05/2001,1.442927361
29/05/2001,1.623161554
30/05/2001,1.812085748
31/05/2001,2.215363264
1/6/2001,3.880035639
2/6/2001,4.424422741
3/6/2001,4.148533344
4/6/2001,4.424422741
5/6/2001,4.998054981
6/6/2001,4.424422741
7/6/2001,4.707622528
8/6/2001,5.912020206
9/6/2001,5.912020206
10/6/2001,5.6003232
11/6/2001,8.650961876
12/6/2001,11.39066315
13/06/2001,41.29999924
14/06/2001,144.0675201
15/06/2001,38.52164078
16/06/2001,18.2713356
17/06/2001,12.65880966
18/06/2001,9.78694725
19/06/2001,8.285262108
20/06/2001,7.227733135
21/06/2001,6.230671406
22/06/2001,5.6003232
23/06/2001,5.912020206
24/06/2001,6.556213379
25/06/2001,6.230671406
26/06/2001,7.227733135
27/06/2001,16.30640411
28/06/2001,28.82872963
29/06/2001,16.78895187
30/06/2001,12.22994709
1/7/2001,11.80721855
2/7/2001,12.22994709
3/7/2001,12.65880966
4/7/2001,12.65880966
5/7/2001,10.17841911
6/7/2001,7.573596954
7/7/2001,9.4018507
8/7/2001,10.98031807
9/7/2001,11.39066315
10/7/2001,10.17841911
11/7/2001,10.57622337
12/7/2001,10.17841911
13/07/2001,9.023173332
14/07/2001,8.285262108
15/07/2001,7.926124096
16/07/2001,9.4018507
17/07/2001,12.22994709
18/07/2001,12.65880966
19/07/2001,11.80721855
20/07/2001,13.53479767
21/07/2001,20.85612679
22/07/2001,23.58084106
23/07/2001,16.78895187
24/07/2001,13.09377193
25/07/2001,12.22994709
26/07/2001,10.98031807
27/07/2001,10.57622337
28/07/2001,10.98031807
29/07/2001,10.57622337
30/07/2001,11.39066315
31/07/2001,14.43490124
1/8/2001,13.53479767
2/8/2001,11.80721855
3/8/2001,16.78895187
4/8/2001,22.47435951
5/8/2001,17.27730751
6/8/2001,11.80721855
7/8/2001,10.98031807
8/8/2001,19.80524635
9/8/2001,15.8296957
10/8/2001,13.09377193
11/8/2001,11.80721855
12/8/2001,12.22994709
13/08/2001,13.53479767
14/08/2001,11.39066315
15/08/2001,11.39066315
16/08/2001,17.77144623
17/08/2001,15.8296957
18/08/2001,11.80721855
19/08/2001,10.57622337
20/08/2001,10.57622337
21/08/2001,11.39066315
22/08/2001,10.98031807
23/08/2001,10.17841911
24/08/2001,10.57622337
25/08/2001,10.57622337
26/08/2001,9.78694725
27/08/2001,9.4018507
28/08/2001,2.651595116
29/08/2001,2.215363264
30/08/2001,2.009536505
31/08/2001,1.812085748
1/9/2001,1.812085748
2/9/2001,2.009536505
3/9/2001,2.429426193
4/9/2001,6.230671406
5/9/2001,4.148533344
6/9/2001,3.619015455
7/9/2001,2.881749153
8/9/2001,1.812085748
9/9/2001,2.215363264
10/9/2001,7.227733135
11/9/2001,8.650961876
12/9/2001,8.285262108
13/09/2001,7.573596954
14/09/2001,6.556213379
15/09/2001,6.556213379
16/09/2001,6.556213379
17/09/2001,5.912020206
18/09/2001,6.230671406
19/09/2001,5.912020206
20/09/2001,5.6003232
21/09/2001,5.295645714
22/09/2001,5.6003232
23/09/2001,4.998054981
24/09/2001,4.998054981
25/09/2001,5.6003232
26/09/2001,5.912020206
27/09/2001,5.295645714
28/09/2001,4.424422741
29/09/2001,4.424422741
30/09/2001,5.295645714
1/10/2001,4.707622528
2/10/2001,4.148533344
3/10/2001,4.148533344
4/10/2001,4.148533344
5/10/2001,4.148533344
6/10/2001,3.880035639
7/10/2001,4.424422741
8/10/2001,4.148533344
9/10/2001,3.619015455
10/10/2001,3.365563154
11/10/2001,3.880035639
12/10/2001,4.707622528
13/10/2001,12.22994709
14/10/2001,18.2713356
15/10/2001,13.09377193
16/10/2001,9.4018507
17/10/2001,7.227733135
18/10/2001,6.556213379
19/10/2001,5.912020206
20/10/2001,5.295645714
21/10/2001,5.6003232
22/10/2001,4.998054981
23/10/2001,4.707622528
24/10/2001,4.998054981
25/10/2001,4.998054981
26/10/2001,4.998054981
27/10/2001,6.556213379
28/10/2001,7.926124096
29/10/2001,8.650961876
30/10/2001,9.78694725
31/10/2001,7.926124096
1/11/2001,6.556213379
2/11/2001,5.912020206
3/11/2001,5.295645714
4/11/2001,5.295645714
5/11/2001,5.6003232
6/11/2001,4.707622528
7/11/2001,6.888586998
8/11/2001,4.148533344
9/11/2001,3.880035639
10/11/2001,4.424422741
11/11/2001,4.148533344
12/11/2001,4.148533344
13/11/2001,4.148533344
14/11/2001,4.148533344
15/11/2001,3.619015455
16/11/2001,3.119774103
17/11/2001,2.881749153
18/11/2001,2.429426193
19/11/2001,2.215363264
20/11/2001,2.009536505
21/11/2001,2.009536505
22/11/2001,2.215363264
23/11/2001,2.009536505
24/11/2001,2.215363264
25/11/2001,2.429426193
26/11/2001,2.651595116
27/11/2001,2.651595116
28/11/2001,2.429426193
29/11/2001,2.651595116
30/11/2001,2.215363264
1/12/2001,2.215363264
2/12/2001,2.009536505
3/12/2001,2.215363264
4/12/2001,2.215363264
5/12/2001,1.812085748
6/12/2001,1.623161554
7/12/2001,2.009536505
8/12/2001,2.009536505
9/12/2001,2.215363264
10/12/2001,2.429426193
11/12/2001,2.881749153
12/12/2001,4.707622528
13/12/2001,4.707622528
14/12/2001,4.424422741
15/12/2001,4.424422741
16/12/2001,4.148533344
17/12/2001,3.880035639
18/12/2001,3.365563154
19/12/2001,2.881749153
20/12/2001,2.651595116
21/12/2001,2.429426193
22/12/2001,2.215363264
23/12/2001,2.009536505
24/12/2001,2.009536505
25/12/2001,1.812085748
26/12/2001,1.109259725
27/12/2001,0.812737048
28/12/2001,2.215363264
29/12/2001,2.429426193
30/12/2001,3.119774103
31/12/2001,3.365563154
1/1/2002,3.619015455
2/1/2002,4.285559177
3/1/2002,5.755298615
4/1/2002,4.707622528
5/1/2002,12.22994709
6/1/2002,13.31352901
7/1/2002,12.44361401
8/1/2002,12.44361401
9/1/2002,17.52365685
10/1/2002,18.02067184
11/1/2002,15.12564468
12/1/2002,15.59353924
13/01/2002,11.59816647
14/01/2002,9.211707115
15/01/2002,7.749031067
16/01/2002,6.556213379
17/01/2002,4.998054981
18/01/2002,11.39066315
19/01/2002,18.02067184
20/01/2002,14.43490124
21/01/2002,9.78694725
22/01/2002,10.17841911
23/01/2002,12.01781368
24/01/2002,9.023173332
25/01/2002,16.54694939
26/01/2002,12.65880966
27/01/2002,7.749031067
28/01/2002,6.230671406
29/01/2002,4.707622528
30/01/2002,3.880035639
31/01/2002,3.491337538
