Date,Temp
01/01/1980,26.02831415
02/01/1980,26.10831415
03/01/1980,26.62831415
04/01/1980,26.04831415
05/01/1980,26.02831415
06/01/1980,25.39260772
07/01/1980,26.14882978
08/01/1980,25.16831415
09/01/1980,24.94831415
10/01/1980,25.56831415
11/01/1980,26.02831415
12/01/1980,26.20831415
13/01/1980,26.32831415
14/01/1980,25.72831415
15/01/1980,26.12831415
16/01/1980,25.28831415
17/01/1980,26.32831415
18/01/1980,25.08831415
19/01/1980,25.34831415
20/01/1980,25.74831415
21/01/1980,25.72831415
22/01/1980,25.90831415
23/01/1980,26.24831415
24/01/1980,25.98831415
25/01/1980,25.76831415
26/01/1980,26.04831415
27/01/1980,25.84831415
28/01/1980,26.08831415
29/01/1980,26.06831415
30/01/1980,26.74831415
31/01/1980,25.96831415
01/02/1980,26.46163747
02/02/1980,26.80163747
03/02/1980,25.82163747
04/02/1980,26.18163747
05/02/1980,26.30163747
06/02/1980,25.74524606
07/02/1980,23.16163747
08/02/1980,22.38163747
09/02/1980,24.32163747
10/02/1980,23.29752086
11/02/1980,25.40163747
12/02/1980,25.52163747
13/02/1980,25.54163747
14/02/1980,23.92709976
15/02/1980,24.00163747
16/02/1980,25.00163747
17/02/1980,25.88163747
18/02/1980,25.42523195
19/02/1980,25.78163747
20/02/1980,24.12995086
21/02/1980,25.3100073
22/02/1980,25.82163747
23/02/1980,23.76163747
24/02/1980,24.78142579
25/02/1980,22.94041428
26/02/1980,23.88163747
27/02/1980,24.73187511
28/02/1980,25.16811127
29/02/1980,25.21381346
01/03/1980,24.50458158
02/03/1980,23.66458158
03/03/1980,23.60458158
04/03/1980,22.68458158
05/03/1980,23.00458158
06/03/1980,25.42458158
07/03/1980,24.66458158
08/03/1980,23.58458158
09/03/1980,24.04458158
10/03/1980,25.02458158
11/03/1980,24.98458158
12/03/1980,22.32458158
13/03/1980,23.96259991
14/03/1980,25.36458158
15/03/1980,24.12458158
16/03/1980,25.44458158
17/03/1980,24.58458158
18/03/1980,24.38458158
19/03/1980,24.68458158
20/03/1980,25.62458158
21/03/1980,25.70458158
22/03/1980,25.06458158
23/03/1980,25.28458158
24/03/1980,25.24458158
25/03/1980,24.49406073
26/03/1980,25.64458158
27/03/1980,24.72458158
28/03/1980,25.24458158
29/03/1980,25.08458158
30/03/1980,25.34458158
31/03/1980,23.72458158
01/04/1980,24.45352551
02/04/1980,25.14820895
03/04/1980,24.0977173
04/04/1980,24.07202922
05/04/1980,24.51352551
06/04/1980,25.05352551
07/04/1980,25.47352551
08/04/1980,25.89352551
09/04/1980,25.23352551
10/04/1980,25.81352551
11/04/1980,26.05352551
12/04/1980,25.47352551
13/04/1980,24.61352551
14/04/1980,25.61352551
15/04/1980,25.89352551
16/04/1980,25.02157991
17/04/1980,24.41352551
18/04/1980,24.31352551
19/04/1980,24.55352551
20/04/1980,24.29352551
21/04/1980,24.17352551
22/04/1980,23.75968388
23/04/1980,23.69352551
24/04/1980,22.85352551
25/04/1980,23.71352551
26/04/1980,23.57352551
27/04/1980,23.85352551
28/04/1980,24.01352551
29/04/1980,23.63352551
30/04/1980,23.44917812
01/05/1980,24.48150817
02/05/1980,24.62150817
03/05/1980,24.61038483
04/05/1980,24.86150817
05/05/1980,24.44150817
06/05/1980,23.88150817
07/05/1980,25.08150817
08/05/1980,23.86150817
09/05/1980,24.09899456
10/05/1980,23.88150817
11/05/1980,23.40150817
12/05/1980,23.84150817
13/05/1980,24.086621
14/05/1980,24.11046949
15/05/1980,23.61709853
16/05/1980,23.36150817
17/05/1980,22.38150817
18/05/1980,23.66150817
19/05/1980,23.50150817
20/05/1980,23.02150817
21/05/1980,24.28853114
22/05/1980,23.97520251
23/05/1980,23.30150817
24/05/1980,23.5056236
25/05/1980,21.80150817
26/05/1980,23.46277251
27/05/1980,23.09992141
28/05/1980,22.94757607
29/05/1980,22.54089059
30/05/1980,23.36089059
31/05/1980,24.70150817
01/06/1980,23.20152314
02/06/1980,24.04152314
03/06/1980,23.48152314
04/06/1980,23.72152314
05/06/1980,23.00152314
06/06/1980,22.99733197
07/06/1980,22.50152314
08/06/1980,22.28016896
09/06/1980,22.54780951
10/06/1980,21.92875047
11/06/1980,24.02152314
12/06/1980,22.02152314
13/06/1980,22.46152314
14/06/1980,22.42152314
15/06/1980,22.48152314
16/06/1980,22.80495841
17/06/1980,22.08152314
18/06/1980,23.16152314
19/06/1980,21.36152314
20/06/1980,21.02152314
21/06/1980,21.80152314
22/06/1980,22.92400334
23/06/1980,23.44152314
24/06/1980,22.41634869
25/06/1980,22.9735117
26/06/1980,23.58152314
27/06/1980,22.20152314
28/06/1980,23.48152314
29/06/1980,22.34152314
30/06/1980,23.30152314
01/07/1980,22.3557044
02/07/1980,21.76671441
03/07/1980,22.41761454
04/07/1980,22.78524098
05/07/1980,22.12043742
