COMID,Run Day,Date,Areal Average Precipitation [cm/day],Total Precipitation Volume [cm/day],Outlet Precipitation  [cm/day],Areal Average Temperature [deg C],Outlet Temperature [deg C],Average Areal Runoff [cm/day],Total Runoff Volume [cm/day],Outlet Runoff [cm/day],Shallow GroundWater Discharge [cm/day],Snow Fall [cm/day],Snow Melt [cm/day],Areal Precipitation + Snow Melt [cm/day],Average Catchment Saturated Storage [cm],Total Areal Saturated storage Volume [cm],Outlet Catchment Saturated storage [cm],Average Areal Evapotranspiration [cm/day],Evapotranspiration [cm/day],Outlet Evapotranspiration [cm/day],Daylight hours [hours],Percolation [cm/day ?],Average Catchment Unsaturated Storage [cm],Total Areal Unsaturated Storage [cm],Outlet Catchment Unsaturated Storage [cm],Modeled Inflow [m3/day],Modeled Outflow [m3/day],Average Deep seepage [cm],Deep seepage [cm],Outlet Deep seepage [cm],Generated Flow [m3/day],Modeled Outflow [m3/s],Observed Flow [m3/s],Catchment Balance % Volume Error,Basin Water Balance [% Volume Error]
307621000,1,01/01/2001,0.0,0.0,0.0,25.968792905418685,26.017925965751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.502038966652334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.119774103,0.0,0.0
307621000,2,02/01/2001,0.0,0.0,0.0,25.918885838853374,25.981590741336408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.500062494493228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.119774103,0.0,0.0
307621000,3,03/01/2001,0.0,0.0,0.0,25.519007966086015,25.58680590666804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.497923121882808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.651595116,0.0,0.0
307621000,4,04/01/2001,0.34522345985122876,248.402433524813,0.40975988262256136,24.872764314945343,25.031193906528287,0.0,0.0,0.0,0.0,0.0,0.0,248.402433524813,0.0,0.0,0.0,0.33257843202340287,239.30381755655134,0.34879932351019377,12.49562211731672,0.0,0.012645027827825912,9.098615968261685,0.060960559112367585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.429426193,0.060960559112367585,0.012645027827825912
307621000,5,05/01/2001,0.09460652978769948,68.07327704997108,0.09937590563519165,25.413675511782394,25.492990928784973,0.0,0.0,0.0,0.0,0.0,0.0,68.07327704997108,0.0,0.0,0.0,0.10725155761552538,77.17189301823275,0.16033646474755925,12.493160836579008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.881749153,-0.0609605591123676,-0.012645027827825913
307621000,6,06/01/2001,0.35254402363102166,253.66987930748897,0.39159904339772605,26.525839714586105,26.582315681868455,0.0,0.0,0.0,0.0,0.0,0.0,253.66987930748897,0.0,0.0,0.0,0.35134951168411693,252.8103789867012,0.3800427365636049,12.490540720138284,0.0,0.0011945119469047108,0.8595003207877625,0.011556306834121177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.619015455,0.011556306834121177,0.0011945119469047108
307621000,7,07/01/2001,0.08258706692303255,59.42478072086577,0.08094449445588547,26.01916444726607,26.10593259185515,0.0,0.0,0.0,0.0,0.0,0.0,59.42478072086577,0.0,0.0,0.0,0.08378157886993727,60.284281041653536,0.09250080129000665,12.487763290409678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.119774103,-0.011556306834121177,-0.0011945119469047108
307621000,8,08/01/2001,1.2952943673489277E-4,0.09320174043766148,0.0,25.52497301639041,25.58819699636286,0.0,0.0,0.0,0.0,0.0,0.0,0.09320174043766148,0.0,0.0,0.0,1.2952943673489277E-4,0.09320174043766148,0.0,12.484830148893076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.119774103,0.0,0.0
307621000,9,09/01/2001,0.03539445722751474,25.467763147943188,0.03469049792180068,25.5432294709156,25.596071887532766,0.0,0.0,0.0,0.0,0.0,0.0,25.467763147943188,0.0,0.0,0.0,0.03539445722751474,25.467763147943188,0.03469049792180068,12.48174297319833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.651595116,0.0,0.0
307621000,10,10/01/2001,0.0,0.0,0.0,26.260192008039194,26.362733847456408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.478503513968503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.651595116,0.0,0.0
