Year-Month,Areal Average Precipitation [cm/day],Total Precipitation Volume [cm/day],Outlet Precipitation  [cm/day],Areal Average Temperature [deg C],Outlet Temperature [deg C],Average Areal Runoff [cm/day],Total Runoff Volume [cm/day],Outlet Runoff [cm/day],Shallow GroundWater Discharge [cm/day],Snow Fall [cm/day],Snow Melt [cm/day],Areal Precipitation + Snow Melt [cm/day],Average Catchment Saturated Storage [cm],Total Areal Saturated storage Volume [cm],Outlet Catchment Saturated storage [cm],Average Areal Evapotranspiration [cm/day],Evapotranspiration [cm/day],Outlet Evapotranspiration [cm/day],Daylight hours [hours],Percolation [cm/day ?],Average Catchment Unsaturated Storage [cm],Total Areal Unsaturated Storage [cm],Outlet Catchment Unsaturated Storage [cm],Modeled Inflow [m3/day],Modeled Outflow [m3/day],Average Deep seepage [cm],Deep seepage [cm],Outlet Deep seepage [cm],Generated Flow [m3/day],Modeled Outflow [m3/s],Observed Flow [m3/s],Daily Demand [m3/day],Actual Daily Demand [m3/day],Reservoir Inflow [m3/s],Reservoir Outflow [m3/s],Reservoir Volume [m3],Generated SedLoad [tonne/day],Routed SedLoad [tonne/day],Sediment Concentration [??],MODFLOW GW Flow [m3/day],Basin Water Balance [% Volume Error]
2001-Jan,0.1279211757085338,92.04453069049414,0.14245269111034456,25.881055556399573,25.958970381668752,0.0,0.0,0.0,0.0,0.0,0.0,92.04453069049414,0.0,0.0,0.0,0.12792117570853384,92.04453069049414,0.1424526911103446,12.450466826643348,0.0,0.22140577149419008,159.31053022670102,0.2858774864170764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85919533235484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.693282239176428E-18
2001-Feb,0.05548551482635816,39.92410282367258,0.06334527354494765,26.95968957664943,27.03368183925289,0.0,0.0,0.0,0.0,0.0,0.0,39.92410282367258,0.0,0.0,0.0,0.055485514826358155,39.92410282367257,0.06334527354494765,12.280478288510734,0.0,0.008454184451092582,6.083132334123609,0.015006498519245196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5305550760000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.956352788505163E-19
2001-Mar,0.4189946012445435,301.4837943741001,0.41228651647483144,26.543916131395914,26.63253880703557,0.005180575747582355,3.727636653991156,0.007056743946668877,0.0,0.0,0.0,301.4837943741001,0.0,0.0,0.0,0.23086213815392015,166.1147737494099,0.23071403656606734,12.049476620434053,0.0,2.1539146044651583,1549.8298684114643,2.0070123618480586,32027.91322957658,37276.36653991156,0.0,0.0,0.0,37276.36653991156,0.4314394275452727,3.490872006193548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1829518873430409
2001-Apr,0.3384094507331153,243.49947458995652,0.3568610717667434,25.49424156891799,25.596025712674795,6.744794029487534E-6,0.00485315584077149,5.947310285835506E-5,0.0,0.0,0.0,243.49947458995652,0.0,0.0,0.0,0.3197275498274225,230.05708093037344,0.3216406101041035,11.801830967325646,0.0,4.787940513849231,3445.119505275588,4.671227154142995,4.298438156813329,48.531558407714904,0.0,0.0,0.0,48.531558407714904,5.617078519411447E-4,4.552692158866666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01867515611166325
2001-May,0.09810447253599676,70.59019027302365,0.1053825429652231,26.10198143378045,26.16326219979774,0.0,0.0,0.0,0.0,0.0,0.0,70.59019027302365,0.0,0.0,0.0,0.28494834892482657,205.03201993371866,0.29722407016876307,11.596955491163309,0.0,2.50733247935428,1804.1285195270577,2.7313675250898912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7068331741935494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1868438763888298
2001-Jun,1.1178057697032675,804.3070813380588,1.173315282465964,23.576719312907,23.712104016107936,0.13056892807878787,93.94969707873909,0.2128753945024289,1.960061103169965,0.0,0.0,804.3070813380588,0.5206592282078979,374.6356617239391,0.40741273936667954,0.27227911950362044,195.91598992675455,0.2745590106458879,11.496333642849844,0.1346206018430492,11.438374592830806,8230.379492900072,11.443758871043404,799198.0299460761,959097.5818190905,3.8642505141626494E-4,0.2780486679211107,3.0011291646578217E-4,959097.5818190905,11.100666456239473,15.350147221933332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7118472534038699
2001-Jul,0.6205502005261855,446.51131183681207,0.6453195331875237,23.162394442314667,23.299347502807308,0.005790557355016678,4.1665434297860555,0.011286366736565374,42.9760714797532,0.0,0.0,446.51131183681207,8.80609937163796,6336.3495479677495,8.421851407719167,0.26805038461790726,192.87324179835366,0.2703112333607915,11.543543622556387,0.34186140794889847,17.965873818389408,12927.18281315774,17.97187066172718,420718.5890147892,471426.1490953926,0.008472710674363424,6.096462711342132,0.0080705174639214,471426.1490953926,5.456321170085561,11.940908508064515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.278509483709166
2001-Aug,0.42494819857846755,305.7676517533491,0.4590580459068385,22.708914777192156,22.863312799611624,0.005050802714463094,3.6342596359674895,0.01059136253177856,78.32395970181621,0.0,0.0,305.7676517533491,15.6427743370481,11255.617489253926,15.941652158913493,0.2694170532716945,193.85661592816828,0.27189563346895557,11.720018171371198,0.2166869738303187,17.579486614060823,12649.161377767943,17.59938201202844,729298.4828122562,819582.1933778371,0.015441528892109887,11.11081314055764,0.015717558701520785,819582.1933778371,9.485905015947187,11.673942199774196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026186142758841416
2001-Sep,0.15108535600991513,108.71210814873034,0.16374217457608048,24.508188586716393,24.5957384441581,0.0,0.0,0.0,68.73166739440441,0.0,0.0,108.71210814873034,13.536862920135585,9740.327882417278,13.981557225429734,0.3107818602832952,223.6202905301025,0.31232491133213214,11.95873281223881,0.0,14.334245887618644,10314.077620223008,14.585413436053217,613938.6813443007,687316.673944044,0.01355041333346905,9.750077960377654,0.013995552778207942,687316.673944044,7.955054096574584,5.135475174533332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2687684617501355
2001-Oct,0.27125312830593445,195.17774719438043,0.2851098308848629,25.495031303379243,25.57823285162154,0.004189675306905311,3.014643160005955,0.008029535188237973,53.817976956272354,0.0,0.0,195.17774719438043,10.599576648061724,7626.829980922982,10.947779285683968,0.34201767589940557,246.09574053433423,0.3435128673906159,12.205767895979593,0.0,10.136794060505416,7293.838935090129,10.703518614372332,504898.1116717395,568326.2011627831,0.01061018683489662,7.634464445368351,0.010958738023707676,568326.2011627831,6.577849550495174,6.402001242161289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16035928168318472
